msg.vmui.window.linux.actions.open.tooltip	打开所选节点。
msg.vmui.window.linux.actions.open	打开(_O)
msg.vmui.window.linux.actions.folderPermissions.tooltip	管理此对象的远程用户权限。
msg.vmui.window.linux.actions.folderPermissions	权限(_P)...
msg.vmui.window.linux.actions.roles.tooltip	管理此连接的远程权限角色。
msg.vmui.window.linux.actions.roles	角色(_R)...
msg.vmui.window.linux.fullscreenAddMonitor.tooltip	循环切换多显示器
msg.vmui.window.linux.cannotUseMultipleMonitors	无法使用多个显示器；点击了解更多信息
msg.vmui.window.linux.actions.newWindow.tooltip	打开新窗口
msg.vmui.window.linux.actions.newWindow	新窗口(_W)
msg.vmui.window.linux.actions.closeWindow.tooltip	关闭此窗口
msg.vmui.window.linux.actions.closeWindow	关闭窗口(_D)
msg.vmui.window.linux.actions.SearchVM.tooltip	扫描虚拟机
msg.vmui.window.linux.actions.SearchVM	扫描虚拟机(_S)...
msg.vmui.window.linux.actions.removenonexistentvm.tooltip	移除不存在的虚拟机
msg.vmui.window.linux.actions.removenonexistentvm	移除不存在的虚拟机(_N)
msg.vmui.window.linux.actions.manageVirtualDisks.tooltip	在主机上挂载虚拟磁盘
msg.vmui.window.linux.actions.manageVirtualDisks	挂载虚拟磁盘(_M)...
msg.vmui.window.linux.actions.virtualNetworkEditor.tooltip	启动虚拟网络编辑器
msg.vmui.window.linux.actions.virtualNetworkEditor	虚拟网络编辑器(_V)
msg.vmui.window.linux.actions.autofitWindow	自动调整窗口(_W)
msg.vmui.window.linux.action.fitWindowNow	立即调整窗口(_W)
msg.vmui.window.linux.switchToTheHomeTab	切换到主页选项卡
msg.vmui.window.linux.goToHomeTab.accel	转到主页选项卡(_H)
msg.vmui.window.linux.action.library.tooltip	显示库
msg.vmui.window.linux.action.library	库(_L)
msg.vmui.window.linux.actions.statusBar.tooltip	更改状态栏的可见性
msg.vmui.window.linux.actions.statusBar	状态栏(_S)
msg.vmui.window.linux.actions.viewTabs.tooltip	更改选项卡的可见性
msg.vmui.window.linux.actions.viewTabs	选项卡(_B)
msg.vmui.window.linux.actions.viewToolbar.tooltip	更改工具栏的可见性
msg.vmui.window.linux.actions.viewToolbar	工具栏(_T)
msg.vmui.window.linux.actions.softwareUpdates.tooltip	查看软件更新
msg.vmui.window.linux.actions.softwareUpdates	软件更新(_U)
msg.vmui.window.linux.actions.connect.tooltip	连接到服务器
msg.vmui.window.linux.actions.connect	连接到服务器(_S)...
msg.vmui.window.linux.actions.home.connect.description	查看 VMware vCloud Air 上的虚拟机。
msg.vmui.window.linux.actions.home.connect	连接到\n远程服务器
msg.vmui.window.linux.actions.removeServer.tooltip	从侧栏和选项卡中移除此服务器
msg.vmui.window.linux.actions.removeServer	移除(_O)
msg.vmui.window.linux.actions.manageAutoStart.tooltip	管理主机开机关机时虚拟机的电源操作。
msg.vmui.window.linux.actions.manageAutoStart	管理虚拟机电源操作(_M)...
msg.vmui.window.linux.actions.refreshInventory.tooltip	刷新服务器清单。
msg.vmui.window.linux.actions.refreshInventory	刷新(_F)
msg.vmui.window.linux.actions.helpContents.tooltip	显示帮助
msg.vmui.window.linux.actions.helpContents	目录(_C)
msg.vmui.window.linux.actions.home.helpContents.description	查看 %s 的帮助内容。
msg.vmui.window.linux.actions.home.helpContents	帮助
msg.vmui.window.linux.actions.helpEnableAllHints	启用所有提示(_E)
msg.vmui.window.linux.actions.helpShowEnabledHints	显示已启用的提示(_S)
msg.vmui.window.linux.actions.helpCommunity.tooltip	从在线社区获取支持
msg.vmui.window.linux.actions.helpCommunity	在线社区(_O)
msg.vmui.window.linux.actions.helpSupport.tooltip	转到在线支持页面
msg.vmui.window.linux.actions.helpSupport	产品支持中心(_P)
msg.vmui.window.linux.actions.helpGetSupport.tooltip	获取此产品的支持
msg.vmui.window.linux.actions.helpGetSupport	获取支持(_S)
msg.vmui.window.linux.actions.collectSupportData.tooltip	收集支持数据
msg.vmui.window.linux.actions.collectSupportData	收集支持数据(_C)...
msg.vmui.window.linux.actions.about.tooltip	关于 %s
msg.vmui.window.linux.actions.about	关于 %s(_A)
msg.vmui.window.linux.actions.iconify.tooltip	将窗口最小化
msg.vmui.window.linux.actions.iconify	最小化(_I)
msg.vmui.window.linux.actions.fullscreenRestore.tooltip	还原窗口
msg.vmui.window.linux.actions.fullscreenRestore	还原(_R)
msg.vmui.window.linux.actions.closeTheWindow.tooltip	关闭窗口
msg.vmui.window.linux.actions.closeTheWindow	关闭(_C)
msg.vmui.window.linux.actions.fullscreenAddMonitor.tooltip	循环切换多显示器
msg.vmui.window.linux.actions.fullscreenAddMonitor	循环切换多个显示器(_M)
msg.vmui.window.linux.actions.fullscreenSwitchPrev.tooltip	切换到上一个已开机的虚拟机
msg.vmui.window.linux.actions.fullscreenSwitchPrev	上一个虚拟机(_P)
msg.vmui.window.linux.actions.fullscreenSwitchNext.tooltip	切换到下一个已开机的虚拟机
msg.vmui.window.linux.actions.fullscreenSwitchNext	下一个虚拟机(_N)
msg.vmui.window.linux.actions.windowedAutofitGuest.tooltip	更改客户机分辨率以匹配主机
msg.vmui.window.linux.actions.windowedAutofitGuest	自动调整客户机(_G)
msg.vmui.window.linux.actions.windowedStretchGuest.tooltip	拉伸客户机屏幕以适应主机
msg.vmui.window.linux.actions.windowedStretchGuest	拉伸客户机(_S)
